,origin_x,DEP_DEL15_x,DEP_DEL15_y,delayperc
0,ABE,43.0,266,0.16165413533834586
1,ABI,24.0,168,0.14285714285714285
2,ABQ,190.0,1671,0.11370436864153202
3,ABY,10.0,83,0.12048192771084337
4,ACT,8.0,114,0.07017543859649122
5,ACV,31.0,85,0.36470588235294116
6,ADK,2.0,9,0.2222222222222222
7,ADQ,9.0,53,0.16981132075471697
8,AEX,22.0,254,0.08661417322834646
9,AGS,32.0,338,0.09467455621301775
10,ALB,161.0,833,0.19327731092436976
11,AMA,39.0,388,0.10051546391752578
12,ANC,116.0,1291,0.08985282726568551
13,ASE,242.0,639,0.37871674491392804
14,ATL,4055.0,30323,0.13372687399004057
15,ATW,77.0,332,0.2319277108433735
16,AUS,633.0,4717,0.13419546321814713
17,AVL,30.0,213,0.14084507042253522
18,AVP,24.0,133,0.18045112781954886
19,AZO,27.0,130,0.2076923076923077
20,BDL,322.0,2254,0.14285714285714285
21,BET,10.0,66,0.15151515151515152
22,BFL,25.0,178,0.1404494382022472
23,BGM,14.0,54,0.25925925925925924
24,BGR,9.0,38,0.23684210526315788
25,BHM,174.0,1188,0.14646464646464646
26,BIL,14.0,208,0.0673076923076923
27,BIS,32.0,194,0.16494845360824742
28,BJI,9.0,60,0.15
29,BMI,31.0,191,0.16230366492146597
30,BNA,1013.0,5521,0.1834812533961239
31,BOI,166.0,1367,0.12143379663496708
32,BOS,2390.0,10503,0.22755403218128153
33,BQK,7.0,83,0.08433734939759036
34,BQN,34.0,137,0.24817518248175183
35,BRO,5.0,92,0.05434782608695652
36,BRW,2.0,60,0.03333333333333333
37,BTM,4.0,58,0.06896551724137931
38,BTR,78.0,518,0.15057915057915058
39,BTV,134.0,447,0.29977628635346754
40,BUF,286.0,1596,0.17919799498746866
41,BUR,322.0,2188,0.14716636197440586
42,BWI,1229.0,7206,0.17055231751318345
43,BZN,77.0,467,0.16488222698072805
44,CAE,43.0,362,0.11878453038674033
45,CAK,33.0,215,0.15348837209302327
46,CDC,6.0,54,0.1111111111111111
47,CDV,7.0,59,0.11864406779661017
48,CHA,61.0,472,0.1292372881355932
49,CHO,11.0,131,0.08396946564885496
50,CHS,120.0,1017,0.11799410029498525
51,CID,101.0,551,0.18330308529945555
52,CLE,733.0,3703,0.19794761004590872
53,CLL,20.0,174,0.11494252873563218
54,CLT,2134.0,14776,0.14442338927991338
55,CMH,592.0,3336,0.1774580335731415
56,CMI,47.0,154,0.3051948051948052
57,COD,9.0,59,0.15254237288135594
58,COS,114.0,676,0.16863905325443787
59,CPR,2.0,68,0.029411764705882353
60,CRP,40.0,439,0.09111617312072894
61,CRW,20.0,141,0.14184397163120568
62,CSG,8.0,82,0.0975609756097561
63,CVG,681.0,3390,0.20088495575221238
64,CWA,30.0,177,0.1694915254237288
65,DAB,28.0,252,0.1111111111111111
66,DAL,423.0,2704,0.15643491124260356
67,DAY,57.0,535,0.10654205607476636
68,DBQ,17.0,75,0.22666666666666666
69,DCA,1611.0,8744,0.18424062214089662
70,DEN,3212.0,17095,0.18789119625621525
71,DFW,3720.0,20903,0.177964885423145
72,DHN,16.0,114,0.14035087719298245
73,DLH,22.0,111,0.1981981981981982
74,DRO,26.0,150,0.17333333333333334
75,DSM,188.0,996,0.18875502008032127
76,DTW,2162.0,11497,0.18804905627555013
77,EGE,130.0,413,0.31476997578692495
78,EKO,2.0,54,0.037037037037037035
79,ELM,0.0,10,0.0
80,ELP,194.0,1324,0.14652567975830816
81,ERI,12.0,75,0.16
82,EUG,61.0,281,0.21708185053380782
83,EVV,31.0,261,0.11877394636015326
84,EWN,5.0,55,0.09090909090909091
85,EWR,2484.0,10044,0.24731182795698925
86,EYW,16.0,155,0.1032258064516129
87,FAI,25.0,346,0.07225433526011561
88,FAR,87.0,292,0.2979452054794521
89,FAT,145.0,845,0.17159763313609466
90,FAY,41.0,261,0.15708812260536398
91,FCA,18.0,182,0.0989010989010989
92,FLG,14.0,113,0.12389380530973451
93,FLL,1623.0,7629,0.21274085725521039
94,FNT,27.0,187,0.1443850267379679
95,FSD,71.0,413,0.17191283292978207
96,FSM,15.0,166,0.09036144578313253
97,FWA,91.0,447,0.203579418344519
98,GCC,12.0,58,0.20689655172413793
99,GEG,92.0,803,0.11457036114570361
100,GFK,27.0,137,0.19708029197080293
101,GGG,2.0,59,0.03389830508474576
102,GJT,26.0,278,0.09352517985611511
103,GNV,27.0,191,0.14136125654450263
104,GPT,28.0,285,0.09824561403508772
105,GRB,71.0,330,0.21515151515151515
106,GRK,30.0,247,0.1214574898785425
107,GRR,255.0,992,0.25705645161290325
108,GSO,146.0,959,0.15224191866527634
109,GSP,121.0,914,0.1323851203501094
110,GTF,15.0,98,0.15306122448979592
111,GTR,3.0,82,0.036585365853658534
112,GUC,9.0,38,0.23684210526315788
113,HDN,45.0,176,0.2556818181818182
114,HLN,8.0,110,0.07272727272727272
115,HNL,322.0,3815,0.08440366972477065
116,HOU,717.0,4089,0.17534849596478358
117,HPN,117.0,617,0.18962722852512157
118,HRL,31.0,285,0.10877192982456141
119,HSV,86.0,690,0.1246376811594203
120,IAD,695.0,4711,0.14752706431755466
121,IAH,2029.0,14146,0.14343277251519865
122,ICT,89.0,724,0.12292817679558012
123,IDA,8.0,115,0.06956521739130435
124,ILM,32.0,396,0.08080808080808081
125,IND,542.0,3421,0.1584332066647179
126,INL,5.0,53,0.09433962264150944
127,ISP,84.0,467,0.17987152034261242
128,ITH,16.0,65,0.24615384615384617
129,ITO,24.0,461,0.052060737527114966
