,origin,hold,count
0,ABE,ABE,0.161654135
1,ABI,ABI,0.142857143
2,ABQ,ABQ,0.113704369
3,ABY,ABY,0.120481928
4,ACT,ACT,0.070175439
5,ACV,ACV,0.364705882
6,ADK,ADK,0.222222222
7,ADQ,ADQ,0.169811321
8,AEX,AEX,0.086614173
9,AGS,AGS,0.094674556
10,ALB,ALB,0.193277311
11,AMA,AMA,0.100515464
12,ANC,ANC,0.089852827
13,ASE,ASE,0.378716745
14,ATL,ATL,0.133726874
15,ATW,ATW,0.231927711
16,AUS,AUS,0.134195463
17,AVL,AVL,0.14084507
18,AVP,AVP,0.180451128
19,AZO,AZO,0.207692308
20,BDL,BDL,0.142857143
21,BET,BET,0.151515152
22,BFL,BFL,0.140449438
23,BGM,BGM,0.259259259
24,BGR,BGR,0.236842105
25,BHM,BHM,0.146464646
26,BIL,BIL,0.067307692
27,BIS,BIS,0.164948454
28,BJI,BJI,0.15
29,BMI,BMI,0.162303665
30,BNA,BNA,0.183481253
31,BOI,BOI,0.121433797
32,BOS,BOS,0.227554032
33,BQK,BQK,0.084337349
34,BQN,BQN,0.248175182
35,BRO,BRO,0.054347826
36,BRW,BRW,0.033333333
37,BTM,BTM,0.068965517
38,BTR,BTR,0.150579151
39,BTV,BTV,0.299776286
40,BUF,BUF,0.179197995
41,BUR,BUR,0.147166362
42,BWI,BWI,0.170552318
43,BZN,BZN,0.164882227
44,CAE,CAE,0.11878453
45,CAK,CAK,0.153488372
46,CDC,CDC,0.111111111
47,CDV,CDV,0.118644068
48,CHA,CHA,0.129237288
49,CHO,CHO,0.083969466
50,CHS,CHS,0.1179941
51,CID,CID,0.183303085
52,CLE,CLE,0.19794761
53,CLL,CLL,0.114942529
54,CLT,CLT,0.144423389
55,CMH,CMH,0.177458034
56,CMI,CMI,0.305194805
57,COD,COD,0.152542373
58,COS,COS,0.168639053
59,CPR,CPR,0.029411765
60,CRP,CRP,0.091116173
61,CRW,CRW,0.141843972
62,CSG,CSG,0.097560976
63,CVG,CVG,0.200884956
64,CWA,CWA,0.169491525
65,DAB,DAB,0.111111111
66,DAL,DAL,0.156434911
67,DAY,DAY,0.106542056
68,DBQ,DBQ,0.226666667
69,DCA,DCA,0.184240622
70,DEN,DEN,0.187891196
71,DFW,DFW,0.177964885
72,DHN,DHN,0.140350877
73,DLH,DLH,0.198198198
74,DRO,DRO,0.173333333
75,DSM,DSM,0.18875502
76,DTW,DTW,0.188049056
77,EGE,EGE,0.314769976
78,EKO,EKO,0.037037037
79,ELM,ELM,0
80,ELP,ELP,0.14652568
81,ERI,ERI,0.16
82,EUG,EUG,0.217081851
83,EVV,EVV,0.118773946
84,EWN,EWN,0.090909091
85,EWR,EWR,0.247311828
86,EYW,EYW,0.103225806
87,FAI,FAI,0.072254335
88,FAR,FAR,0.297945205
89,FAT,FAT,0.171597633
90,FAY,FAY,0.157088123
91,FCA,FCA,0.098901099
92,FLG,FLG,0.123893805
93,FLL,FLL,0.212740857
94,FNT,FNT,0.144385027
95,FSD,FSD,0.171912833
96,FSM,FSM,0.090361446
97,FWA,FWA,0.203579418
98,GCC,GCC,0.206896552
99,GEG,GEG,0.114570361
100,GFK,GFK,0.197080292
101,GGG,GGG,0.033898305
102,GJT,GJT,0.09352518
103,GNV,GNV,0.141361257
104,GPT,GPT,0.098245614
105,GRB,GRB,0.215151515
106,GRK,GRK,0.12145749
107,GRR,GRR,0.257056452
108,GSO,GSO,0.152241919
109,GSP,GSP,0.13238512
110,GTF,GTF,0.153061224
111,GTR,GTR,0.036585366
112,GUC,GUC,0.236842105
113,HDN,HDN,0.255681818
114,HLN,HLN,0.072727273
115,HNL,HNL,0.08440367
116,HOU,HOU,0.175348496
117,HPN,HPN,0.189627229
118,HRL,HRL,0.10877193
119,HSV,HSV,0.124637681
120,IAD,IAD,0.147527064
121,IAH,IAH,0.143432773
122,ICT,ICT,0.122928177
123,IDA,IDA,0.069565217
124,ILM,ILM,0.080808081
125,IND,IND,0.158433207
126,INL,INL,0.094339623
127,ISP,ISP,0.17987152
128,ITH,ITH,0.246153846
129,ITO,ITO,0.052060738
130,JAC,JAC,0.275862069
131,JAN,JAN,0.133709981
132,JAX,JAX,0.141686183
133,JFK,JFK,0.190347452
134,JNU,JNU,0.170138889
135,KOA,KOA,0.098821396
136,KTN,KTN,0.164705882
137,LAN,LAN,0.175925926
138,LAS,LAS,0.17032435
139,LAW,LAW,0.164948454
140,LAX,LAX,0.170765824
141,LBB,LBB,0.097046414
142,LCH,LCH,0.078651685
143,LEX,LEX,0.190878378
144,LFT,LFT,0.105263158
145,LGA,LGA,0.276288836
146,LGB,LGB,0.143231441
147,LIH,LIH,0.089147287
148,LIT,LIT,0.123203285
149,LNK,LNK,0.11
150,LRD,LRD,0.099447514
151,LSE,LSE,0.138686131
152,LWS,LWS,0.03125
153,MAF,MAF,0.121765601
154,MBS,MBS,0.156069364
155,MCI,MCI,0.150312585
156,MCO,MCO,0.182034766
157,MDT,MDT,0.170506912
158,MDW,MDW,0.303233935
159,MEM,MEM,0.133176193
160,MFE,MFE,0.128608924
161,MFR,MFR,0.286343612
162,MGM,MGM,0.154255319
163,MHT,MHT,0.112318841
164,MIA,MIA,0.18629427
165,MKE,MKE,0.19831784
166,MLB,MLB,0.076923077
167,MLI,MLI,0.262569832
168,MLU,MLU,0.109170306
169,MOB,MOB,0.130750605
170,MOT,MOT,0.147826087
171,MQT,MQT,0.344827586
172,MRY,MRY,0.159090909
173,MSN,MSN,0.198945982
174,MSO,MSO,0.073619632
175,MSP,MSP,0.156743091
176,MSY,MSY,0.148388593
177,MTJ,MTJ,0.253164557
178,MYR,MYR,0.126914661
