,origin,hold,perc,count,total
0,ABE,ABE,0.161654135,1,266
1,ABI,ABI,0.142857143,1,168
2,ABQ,ABQ,0.113704369,1,1671
3,ABY,ABY,0.120481928,1,83
4,ACT,ACT,0.070175439,0,114
5,ACV,ACV,0.364705882,3,85
6,ADK,ADK,0.222222222,2,9
7,ADQ,ADQ,0.169811321,1,53
8,AEX,AEX,0.086614173,0,254
9,AGS,AGS,0.094674556,0,338
10,ALB,ALB,0.193277311,1,833
11,AMA,AMA,0.100515464,1,388
12,ANC,ANC,0.089852827,0,1291
13,ASE,ASE,0.378716745,3,639
14,ATL,ATL,0.133726874,1,30323
15,ATW,ATW,0.231927711,2,332
16,AUS,AUS,0.134195463,1,4717
17,AVL,AVL,0.14084507,1,213
18,AVP,AVP,0.180451128,1,133
19,AZO,AZO,0.207692308,2,130
20,BDL,BDL,0.142857143,1,2254
21,BET,BET,0.151515152,1,66
22,BFL,BFL,0.140449438,1,178
23,BGM,BGM,0.259259259,2,54
24,BGR,BGR,0.236842105,2,38
25,BHM,BHM,0.146464646,1,1188
26,BIL,BIL,0.067307692,0,208
27,BIS,BIS,0.164948454,1,194
28,BJI,BJI,0.15,1,60
29,BMI,BMI,0.162303665,1,191
30,BNA,BNA,0.183481253,1,5521
31,BOI,BOI,0.121433797,1,1367
32,BOS,BOS,0.227554032,2,10503
33,BQK,BQK,0.084337349,0,83
34,BQN,BQN,0.248175182,2,137
35,BRO,BRO,0.054347826,0,92
36,BRW,BRW,0.033333333,0,60
37,BTM,BTM,0.068965517,0,58
38,BTR,BTR,0.150579151,1,518
39,BTV,BTV,0.299776286,2,447
40,BUF,BUF,0.179197995,1,1596
41,BUR,BUR,0.147166362,1,2188
42,BWI,BWI,0.170552318,1,7206
43,BZN,BZN,0.164882227,1,467
44,CAE,CAE,0.11878453,1,362
45,CAK,CAK,0.153488372,1,215
46,CDC,CDC,0.111111111,1,54
47,CDV,CDV,0.118644068,1,59
48,CHA,CHA,0.129237288,1,472
49,CHO,CHO,0.083969466,0,131
50,CHS,CHS,0.1179941,1,1017
51,CID,CID,0.183303085,1,551
52,CLE,CLE,0.19794761,1,3703
53,CLL,CLL,0.114942529,1,174
54,CLT,CLT,0.144423389,1,14776
55,CMH,CMH,0.177458034,1,3336
56,CMI,CMI,0.305194805,3,154
57,COD,COD,0.152542373,1,59
58,COS,COS,0.168639053,1,676
59,CPR,CPR,0.029411765,0,68
60,CRP,CRP,0.091116173,0,439
61,CRW,CRW,0.141843972,1,141
62,CSG,CSG,0.097560976,0,82
63,CVG,CVG,0.200884956,2,3390
64,CWA,CWA,0.169491525,1,177
65,DAB,DAB,0.111111111,1,252
66,DAL,DAL,0.156434911,1,2704
67,DAY,DAY,0.106542056,1,535
68,DBQ,DBQ,0.226666667,2,75
69,DCA,DCA,0.184240622,1,8744
70,DEN,DEN,0.187891196,1,17095
71,DFW,DFW,0.177964885,1,20903
72,DHN,DHN,0.140350877,1,114
73,DLH,DLH,0.198198198,1,111
74,DRO,DRO,0.173333333,1,150
75,DSM,DSM,0.18875502,1,996
76,DTW,DTW,0.188049056,1,11497
77,EGE,EGE,0.314769976,3,413
78,EKO,EKO,0.037037037,0,54
79,ELM,ELM,0,0,10
80,ELP,ELP,0.14652568,1,1324
81,ERI,ERI,0.16,1,75
82,EUG,EUG,0.217081851,2,281
83,EVV,EVV,0.118773946,1,261
84,EWN,EWN,0.090909091,0,55
85,EWR,EWR,0.247311828,2,10044
86,EYW,EYW,0.103225806,1,155
87,FAI,FAI,0.072254335,0,346
88,FAR,FAR,0.297945205,2,292
89,FAT,FAT,0.171597633,1,845
90,FAY,FAY,0.157088123,1,261
91,FCA,FCA,0.098901099,0,182
92,FLG,FLG,0.123893805,1,113
93,FLL,FLL,0.212740857,2,7629
94,FNT,FNT,0.144385027,1,187
