,origin,destination,Route pair,DELAYS15,CANCELLED
0,ABE,ATL,ABEATL,7,0
1,ABE,CLT,ABECLT,9,6
2,ABE,DTW,ABEDTW,16,2
3,ABE,ORD,ABEORD,11,10
4,ABI,DFW,ABIDFW,24,2
5,ABQ,ATL,ABQATL,2,0
6,ABQ,AUS,ABQAUS,1,0
7,ABQ,BWI,ABQBWI,3,0
8,ABQ,DAL,ABQDAL,12,1
9,ABQ,DEN,ABQDEN,19,0
10,ABQ,DFW,ABQDFW,22,5
11,ABQ,HOU,ABQHOU,3,2
12,ABQ,IAH,ABQIAH,10,1
13,ABQ,LAS,ABQLAS,11,2
14,ABQ,LAX,ABQLAX,10,0
15,ABQ,MCI,ABQMCI,2,0
16,ABQ,MCO,ABQMCO,4,0
17,ABQ,MDW,ABQMDW,1,3
18,ABQ,MSP,ABQMSP,1,0
19,ABQ,OAK,ABQOAK,13,1
20,ABQ,ORD,ABQORD,18,12
21,ABQ,PHX,ABQPHX,37,3
22,ABQ,SAN,ABQSAN,6,0
23,ABQ,SEA,ABQSEA,1,0
24,ABQ,SFO,ABQSFO,12,7
25,ABQ,SLC,ABQSLC,2,0
26,ABY,ATL,ABYATL,10,1
27,ACT,DFW,ACTDFW,8,2
28,ACV,SFO,ACVSFO,31,13
29,ADK,ANC,ADKANC,2,0
30,ADQ,ANC,ADQANC,9,0
31,AEX,ATL,AEXATL,6,1
32,AEX,DFW,AEXDFW,11,0
33,AEX,IAH,AEXIAH,5,0
34,AGS,ATL,AGSATL,23,1
35,AGS,CLT,AGSCLT,9,0
36,ALB,ATL,ALBATL,7,1
37,ALB,BWI,ALBBWI,19,10
38,ALB,CLT,ALBCLT,7,4
39,ALB,DCA,ALBDCA,27,12
40,ALB,DTW,ALBDTW,5,4
41,ALB,EWR,ALBEWR,16,3
42,ALB,FLL,ALBFLL,16,3
43,ALB,MCO,ALBMCO,21,3
44,ALB,MDW,ALBMDW,7,8
45,ALB,MSP,ALBMSP,0,0
46,ALB,ORD,ALBORD,34,25
47,ALB,TPA,ALBTPA,2,3
48,AMA,DAL,AMADAL,6,1
49,AMA,DFW,AMADFW,24,4
50,AMA,IAH,AMAIAH,6,0
51,AMA,LAS,AMALAS,3,0
52,ANC,ADK,ANCADK,1,0
53,ANC,ADQ,ANCADQ,12,0
54,ANC,BET,ANCBET,7,4
55,ANC,CDV,ANCCDV,2,0
56,ANC,DEN,ANCDEN,6,0
57,ANC,FAI,ANCFAI,14,4
58,ANC,HNL,ANCHNL,0,0
59,ANC,JNU,ANCJNU,15,4
60,ANC,LAX,ANCLAX,3,0
61,ANC,MSP,ANCMSP,7,0
62,ANC,OGG,ANCOGG,0,0
63,ANC,OME,ANCOME,2,0
64,ANC,ORD,ANCORD,0,0
65,ANC,OTZ,ANCOTZ,4,0
66,ANC,PDX,ANCPDX,8,0
67,ANC,PHX,ANCPHX,4,0
68,ANC,SCC,ANCSCC,5,0
69,ANC,SEA,ANCSEA,26,1
70,ASE,ATL,ASEATL,7,2
71,ASE,DEN,ASEDEN,63,18
72,ASE,LAX,ASELAX,57,16
73,ASE,ORD,ASEORD,59,27
74,ASE,PHX,ASEPHX,9,2
75,ASE,SFO,ASESFO,35,10
76,ASE,SLC,ASESLC,12,3
77,ATL,ABE,ATLABE,10,0
78,ATL,ABQ,ATLABQ,4,0
79,ATL,ABY,ATLABY,9,1
80,ATL,AEX,ATLAEX,8,1
