,Month,Airport,Number of Delays,Total Flights,Percent Delayed,Airport Name,Delay Category
0,Jan,ABE,74.0,316.0,0.23417721518987342,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",>23.3% and <30.8%
1,Jan,ABI,34.0,169.0,0.20118343195266272,"Abilene, TX: Abilene Regional",>8.3% and <23.3%
2,Jan,ABQ,257.0,1800.0,0.14277777777777778,"Albuquerque, NM: Albuquerque International Sunport",>8.3% and <23.3%
3,Jan,ABR,9.0,62.0,0.14516129032258066,"Aberdeen, SD: Aberdeen Regional",>8.3% and <23.3%
4,Jan,ABY,11.0,83.0,0.13253012048192772,"Albany, GA: Southwest Georgia Regional",>8.3% and <23.3%
5,Jan,ACT,23.0,111.0,0.2072072072072072,"Waco, TX: Waco Regional",>8.3% and <23.3%
6,Jan,ACV,21.0,97.0,0.21649484536082475,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",>8.3% and <23.3%
7,Jan,ACY,20.0,310.0,0.06451612903225806,"Atlantic City, NJ: Atlantic City International",>0.8% and <8.3%
8,Jan,ADK,0.0,9.0,0.0,"Adak Island, AK: Adak",<0.8%
9,Jan,ADQ,4.0,52.0,0.07692307692307693,"Kodiak, AK: Kodiak Airport",>0.8% and <8.3%
10,Jan,AEX,38.0,267.0,0.14232209737827714,"Alexandria, LA: Alexandria International",>8.3% and <23.3%
11,Jan,AGS,74.0,284.0,0.2605633802816901,"Augusta, GA: Augusta Regional at Bush Field",>23.3% and <30.8%
12,Jan,ALB,200.0,1030.0,0.1941747572815534,"Albany, NY: Albany International",>8.3% and <23.3%
13,Jan,ALO,9.0,58.0,0.15517241379310345,"Waterloo, IA: Waterloo Regional",>8.3% and <23.3%
14,Jan,AMA,40.0,417.0,0.09592326139088729,"Amarillo, TX: Rick Husband Amarillo International",>8.3% and <23.3%
15,Jan,ANC,62.0,1207.0,0.05136702568351284,"Anchorage, AK: Ted Stevens Anchorage International",>0.8% and <8.3%
16,Jan,APN,12.0,52.0,0.23076923076923078,"Alpena, MI: Alpena County Regional",>8.3% and <23.3%
17,Jan,ASE,200.0,985.0,0.20304568527918782,"Aspen, CO: Aspen Pitkin County Sardy Field",>8.3% and <23.3%
18,Jan,ATL,5876.0,30617.0,0.19191952183427508,"Atlanta, GA: Hartsfield-Jackson Atlanta International",>8.3% and <23.3%
19,Jan,ATW,50.0,318.0,0.15723270440251572,"Appleton, WI: Appleton International",>8.3% and <23.3%
20,Jan,AUS,713.0,4704.0,0.1515731292517007,"Austin, TX: Austin - Bergstrom International",>8.3% and <23.3%
21,Jan,AVL,116.0,483.0,0.2401656314699793,"Asheville, NC: Asheville Regional",>23.3% and <30.8%
22,Jan,AVP,59.0,253.0,0.233201581027668,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",>23.3% and <30.8%
23,Jan,AZA,49.0,438.0,0.11187214611872145,"Phoenix, AZ: Phoenix - Mesa Gateway",>8.3% and <23.3%
24,Jan,AZO,53.0,225.0,0.23555555555555555,"Kalamazoo, MI: Kalamazoo/Battle Creek International",>23.3% and <30.8%
25,Jan,BDL,381.0,2322.0,0.1640826873385013,"Hartford, CT: Bradley International",>8.3% and <23.3%
26,Jan,BET,4.0,73.0,0.0547945205479452,"Bethel, AK: Bethel Airport",>0.8% and <8.3%
27,Jan,BFF,0.0,3.0,0.0,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",<0.8%
28,Jan,BFL,30.0,171.0,0.17543859649122806,"Bakersfield, CA: Meadows Field",>8.3% and <23.3%
29,Jan,BGM,15.0,58.0,0.25862068965517243,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",>23.3% and <30.8%
30,Jan,BGR,30.0,251.0,0.11952191235059761,"Bangor, ME: Bangor International",>8.3% and <23.3%
31,Jan,BHM,200.0,1401.0,0.14275517487508924,"Birmingham, AL: Birmingham-Shuttlesworth International",>8.3% and <23.3%
32,Jan,BIL,40.0,351.0,0.11396011396011396,"Billings, MT: Billings Logan International",>8.3% and <23.3%
33,Jan,BIS,56.0,268.0,0.208955223880597,"Bismarck/Mandan, ND: Bismarck Municipal",>8.3% and <23.3%
34,Jan,BJI,11.0,62.0,0.1774193548387097,"Bemidji, MN: Bemidji Regional",>8.3% and <23.3%
35,Jan,BLI,17.0,221.0,0.07692307692307693,"Bellingham, WA: Bellingham International",>0.8% and <8.3%
36,Jan,BLV,21.0,72.0,0.2916666666666667,"Belleville, IL: Scott AFB/MidAmerica",>23.3% and <30.8%
37,Jan,BMI,63.0,250.0,0.252,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",>23.3% and <30.8%
38,Jan,BNA,1039.0,5701.0,0.18224872829328187,"Nashville, TN: Nashville International",>8.3% and <23.3%
39,Jan,BOI,204.0,1549.0,0.131697869593286,"Boise, ID: Boise Air Terminal",>8.3% and <23.3%
40,Jan,BOS,2482.0,11151.0,0.22258093444534122,"Boston, MA: Logan International",>8.3% and <23.3%
41,Jan,BPT,11.0,63.0,0.1746031746031746,"Beaumont/Port Arthur, TX: Jack Brooks Regional",>8.3% and <23.3%
42,Jan,BQK,11.0,84.0,0.13095238095238096,"Brunswick, GA: Brunswick Golden Isles",>8.3% and <23.3%
43,Jan,BQN,36.0,109.0,0.3302752293577982,"Aguadilla, PR: Rafael Hernandez",>30.8%
44,Jan,BRD,7.0,53.0,0.1320754716981132,"Brainerd, MN: Brainerd Lakes Regional",>8.3% and <23.3%
45,Jan,BRO,19.0,173.0,0.10982658959537572,"Brownsville, TX: Brownsville South Padre Island International",>8.3% and <23.3%
46,Jan,BRW,5.0,62.0,0.08064516129032258,"Barrow, AK: Wiley Post/Will Rogers Memorial",>0.8% and <8.3%
47,Jan,BTM,2.0,58.0,0.034482758620689655,"Butte, MT: Bert Mooney",>0.8% and <8.3%
48,Jan,BTR,77.0,591.0,0.13028764805414553,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",>8.3% and <23.3%
49,Jan,BTV,150.0,735.0,0.20408163265306123,"Burlington, VT: Burlington International",>8.3% and <23.3%
50,Jan,BUF,410.0,2041.0,0.20088192062714355,"Buffalo, NY: Buffalo Niagara International",>8.3% and <23.3%
51,Jan,BUR,367.0,2256.0,0.162677304964539,"Burbank, CA: Bob Hope",>8.3% and <23.3%
52,Jan,BWI,1558.0,8525.0,0.18275659824046922,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",>8.3% and <23.3%
53,Jan,BZN,95.0,536.0,0.17723880597014927,"Bozeman, MT: Bozeman Yellowstone International",>8.3% and <23.3%
54,Jan,CAE,69.0,413.0,0.16707021791767554,"Columbia, SC: Columbia Metropolitan",>8.3% and <23.3%
55,Jan,CAK,145.0,657.0,0.2207001522070015,"Akron, OH: Akron-Canton Regional",>8.3% and <23.3%
56,Jan,CDC,5.0,53.0,0.09433962264150944,"Cedar City, UT: Cedar City Regional",>8.3% and <23.3%
57,Jan,CDV,2.0,60.0,0.03333333333333333,"Cordova, AK: Merle K Mudhole Smith",>0.8% and <8.3%
58,Jan,CGI,8.0,53.0,0.1509433962264151,"Cape Girardeau, MO: Cape Girardeau Regional",>8.3% and <23.3%
59,Jan,CHA,131.0,628.0,0.2085987261146497,"Chattanooga, TN: Lovell Field",>8.3% and <23.3%
60,Jan,CHO,105.0,432.0,0.24305555555555555,"Charlottesville, VA: Charlottesville Albemarle",>23.3% and <30.8%
61,Jan,CHS,218.0,1651.0,0.13204118715929739,"Charleston, SC: Charleston AFB/International",>8.3% and <23.3%
62,Jan,CID,133.0,725.0,0.18344827586206897,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",>8.3% and <23.3%
63,Jan,CIU,16.0,58.0,0.27586206896551724,"Sault Ste. Marie, MI: Chippewa County International",>23.3% and <30.8%
64,Jan,CKB,15.0,68.0,0.22058823529411764,"Clarksburg/Fairmont, WV: North Central West Virginia",>8.3% and <23.3%
65,Jan,CLE,733.0,3846.0,0.19058762350494018,"Cleveland, OH: Cleveland-Hopkins International",>8.3% and <23.3%
66,Jan,CLL,20.0,169.0,0.11834319526627218,"College Station/Bryan, TX: Easterwood Field",>8.3% and <23.3%
67,Jan,CLT,3160.0,18362.0,0.17209454307809607,"Charlotte, NC: Charlotte Douglas International",>8.3% and <23.3%
68,Jan,CMH,701.0,3400.0,0.2061764705882353,"Columbus, OH: John Glenn Columbus International",>8.3% and <23.3%
69,Jan,CMI,44.0,194.0,0.2268041237113402,"Champaign/Urbana, IL: University of Illinois/Willard",>8.3% and <23.3%
70,Jan,CMX,10.0,61.0,0.16393442622950818,"Hancock/Houghton, MI: Houghton County Memorial",>8.3% and <23.3%
71,Jan,COD,1.0,61.0,0.01639344262295082,"Cody, WY: Yellowstone Regional",>0.8% and <8.3%
72,Jan,COS,130.0,872.0,0.14908256880733944,"Colorado Springs, CO: City of Colorado Springs Municipal",>8.3% and <23.3%
73,Jan,COU,20.0,183.0,0.1092896174863388,"Columbia, MO: Columbia Regional",>8.3% and <23.3%
74,Jan,CPR,6.0,82.0,0.07317073170731707,"Casper, WY: Casper/Natrona County International",>0.8% and <8.3%
