,year,theme_id,num_parts,theme_name
0,1950,365,71,Classic
1,1953,365,66,Classic
2,1954,365,173,Classic
3,1955,365,1032,Classic
4,1955,497,0,Books
5,1956,365,222,Classic
6,1956,497,0,Books
7,1957,365,895,Classic
8,1958,365,1867,Classic
9,1959,365,65,Classic
10,1960,365,50,Classic
11,1960,497,0,Books
12,1960,507,476,Educational and Dacta
13,1961,365,1199,Classic
14,1961,497,0,Books
15,1961,507,1,Educational and Dacta
17,1962,365,1996,Classic
18,1962,497,0,Books
19,1963,365,600,Classic
20,1963,497,0,Books
21,1963,507,0,Educational and Dacta
22,1964,365,909,Classic
23,1964,497,0,Books
24,1965,365,1070,Classic
25,1965,507,1,Educational and Dacta
26,1966,233,887,Train
27,1966,365,2729,Classic
28,1966,497,0,Books
29,1967,233,481,Train
30,1967,301,314,Other
31,1967,365,1275,Classic
32,1967,497,0,Books
33,1968,233,1018,Train
34,1968,365,2161,Classic
35,1968,497,0,Books
36,1969,233,1896,Train
37,1969,365,1438,Classic
39,1969,465,746,Universal Building Set
40,1969,497,0,Books
41,1970,233,311,Train
42,1970,365,8,Classic
46,1970,465,262,Universal Building Set
47,1971,233,38,Train
48,1971,365,12,Classic
53,1971,465,18,Universal Building Set
54,1972,233,920,Train
58,1972,465,187,Universal Building Set
59,1972,507,1151,Educational and Dacta
65,1973,443,21,Service Packs
66,1973,465,3481,Universal Building Set
67,1973,497,0,Books
68,1974,233,422,Train
73,1974,465,1216,Universal Building Set
74,1975,233,958,Train
79,1975,465,89,Universal Building Set
80,1976,233,1069,Train
87,1976,465,2481,Universal Building Set
88,1976,501,0,Gear
89,1976,507,853,Educational and Dacta
90,1977,1,1652,Technic
91,1977,206,68,Seasonal
92,1977,233,470,Train
97,1977,443,173,Service Packs
98,1977,465,3295,Universal Building Set
99,1977,504,26,Duplo
100,1978,1,2400,Technic
101,1978,50,3248,Town
102,1978,186,791,Castle
103,1978,206,39,Seasonal
104,1978,233,563,Train
110,1978,443,6,Service Packs
111,1978,465,138,Universal Building Set
112,1979,1,2186,Technic
113,1979,50,1747,Town
114,1979,126,2556,Space
115,1979,186,258,Castle
119,1979,443,1,Service Packs
120,1979,465,157,Universal Building Set
121,1980,1,1695,Technic
122,1980,50,2426,Town
123,1980,126,536,Space
124,1980,233,3960,Train
129,1980,443,1,Service Packs
130,1980,465,1817,Universal Building Set
131,1980,497,3,Books
132,1980,507,414,Educational and Dacta
133,1981,1,1502,Technic
134,1981,50,1505,Town
135,1981,126,580,Space
136,1981,186,1033,Castle
137,1981,233,504,Train
139,1981,443,163,Service Packs
140,1981,465,1782,Universal Building Set
141,1981,497,0,Books
142,1981,501,0,Gear
143,1981,507,171,Educational and Dacta
144,1982,1,969,Technic
145,1982,50,928,Town
146,1982,126,408,Space
150,1982,443,520,Service Packs
151,1982,465,1360,Universal Building Set
152,1982,507,174,Educational and Dacta
153,1983,1,533,Technic
154,1983,50,1839,Town
155,1983,126,1124,Space
156,1983,186,22,Castle
157,1983,233,2280,Train
159,1983,443,2,Service Packs
160,1983,465,689,Universal Building Set
161,1983,507,20,Educational and Dacta
162,1984,1,915,Technic
163,1984,50,1750,Town
164,1984,126,1135,Space
165,1984,186,1628,Castle
167,1984,443,244,Service Packs
168,1984,465,387,Universal Building Set
169,1984,497,1,Books
170,1984,504,43,Duplo
171,1984,507,895,Educational and Dacta
172,1985,1,806,Technic
173,1985,50,3246,Town
174,1985,126,1209,Space
175,1985,186,179,Castle
176,1985,206,6,Seasonal
177,1985,233,2478,Train
179,1985,443,62,Service Packs
180,1985,465,5220,Universal Building Set
181,1985,501,0,Gear
182,1985,507,3323,Educational and Dacta
184,1986,1,3192,Technic
185,1986,50,2695,Town
186,1986,126,2205,Space
187,1986,186,898,Castle
188,1986,206,29,Seasonal
189,1986,233,944,Train
192,1986,443,58,Service Packs
193,1986,465,1533,Universal Building Set
194,1986,507,857,Educational and Dacta
195,1987,1,1399,Technic
196,1987,50,2730,Town
197,1987,126,2253,Space
198,1987,186,705,Castle
201,1987,443,1686,Service Packs
202,1987,465,4114,Universal Building Set
203,1987,497,1,Books
204,1987,504,42,Duplo
205,1987,507,657,Educational and Dacta
206,1988,1,1896,Technic
207,1988,50,2722,Town
208,1988,126,2854,Space
209,1988,186,1172,Castle
211,1988,443,44,Service Packs
212,1988,465,546,Universal Building Set
213,1988,497,1,Books
214,1988,504,57,Duplo
215,1988,507,267,Educational and Dacta
216,1989,1,2194,Technic
217,1989,50,2501,Town
218,1989,126,1394,Space
220,1989,186,578,Castle
221,1989,206,172,Seasonal
223,1989,443,394,Service Packs
224,1989,465,1967,Universal Building Set
225,1989,504,4,Duplo
226,1989,507,4,Educational and Dacta
228,1990,1,1296,Technic
229,1990,50,3869,Town
230,1990,126,1312,Space
231,1990,186,1213,Castle
232,1990,206,25,Seasonal
234,1990,443,47,Service Packs
235,1990,465,6227,Universal Building Set
236,1990,497,0,Books
237,1990,504,1,Duplo
238,1990,507,2093,Educational and Dacta
240,1991,1,1463,Technic
241,1991,50,3946,Town
242,1991,126,1530,Space
244,1991,186,33,Castle
245,1991,206,111,Seasonal
246,1991,233,2743,Train
249,1991,443,307,Service Packs
